Ref No	Prapāthaka-Ard	Text	R̥ṣi	Chandas	Dēvata	padapāṭha--rik	Notes
2.2.8.187.1	2.2	इ꣥मा꣯स्तई॥ द्र꣢पृ꣡श्नयो꣯घृतंदू꣭ऽ३हा꣢। औ꣣꣯हो꣭ऽ३हा꣢ऽ३। हा꣢ऽ३इ। ता꣡आऽ२᳐शा꣣ऽ२३४इरा꣥म्॥ ए꣣꣯ना꣢ऽ३४मृ꣣ता꣢ऽ३॥ स्य꣢पो꣡ऽ२३४वा꣥। प्यू꣤ऽ५षोऽ६"हा꣥इ॥	शिखण्डी	गायत्री	इन्द्रः		शैखण्डिनम्॥
2.2.8.188.0	2.2	अ꣣या꣢ धि꣣या꣡ च꣢ गव्य꣣या꣡ पुरु꣢꣯णामन्पुरुष्टुत। य꣡त्सोमे꣢꣯सोम꣣ आ꣡भु꣢वः ॥	श्रुतकक्षः सुकक्षो वा आङ्गिरसः	गायत्री	इन्द्रः	अ꣣या꣢। धि꣣या꣢। च꣣। गव्यया꣢। पु꣡रु꣢꣯णामन्। पु꣡रु꣢꣯। ना꣣मन्। पुरुष्टुत। पुरु। स्तुत। य꣢त्। सो꣡मे꣢꣯सोमे। सो꣡मे꣢꣯। सो꣣मे। आ꣡भु꣢꣯वः। आ꣣। अ꣡भु꣢꣯वः। १८८।	
2.2.8.188.1	2.2	अ꣥या꣯धिया꣯चगव्याऽ६या꣥॥ पु꣡रुणा꣢ऽ३। म꣢᳐न्पू꣣ऽ२३४रू꣥। ष्टू꣡तौ꣢। वाऽ३२॥ यत्सो꣯मे꣯ऽ३सो꣢꣯म꣣आ꣢॥ या꣡त्सो꣯मे꣰꣯ऽ२सो꣡꣯। म꣢ओ꣡ऽ२३४वा꣥। भू꣤ऽ५वोऽ६"हा꣥इ॥	वीतहव्यो	गायत्री	इन्द्रः		वैतहव्यम्
2.2.8.189.0	2.2	पा꣣वका꣢ नः꣣ स꣡र꣢स्वती꣣ वा꣡जे꣢भिर्वा꣣जि꣡नी꣢वती। य꣣ज्ञं꣡ व꣢ष्टु धि꣣या꣡व꣢सु ॥	मधुच्छन्दा वैश्वामित्रः	गायत्री	इन्द्रः	पा꣣वका꣢। नः꣣। स꣡र꣢꣯स्वती। वा꣡जे꣢꣯भिः। वा꣣जि꣡नी꣢वती। य꣣ज्ञ꣢म्। व꣣ष्टु। धिया꣡व꣢सुः। धि꣣या꣢। व꣣सुः। १८९।	
2.2.8.189.1	2.2	पा꣥꣯वका꣯नई꣤या꣥॥ स꣢रा꣡स्वा꣢ऽ१तीऽ᳒२᳒। वा꣡जे꣯भि꣢र्वा꣯। जिना꣡इवा꣢ऽ१तीऽ᳒२᳒॥ य꣡ज्ञाऽ२३म्॥ वा꣡ऽ२᳐ष्टू꣣ऽ२३४औ꣥꣯हो꣯वा॥ धि꣢या꣡꣯वसू꣣ऽ२३꣡४꣡५ः꣡॥	भरद्वाजो	गायत्री	इन्द्रः		भारद्वाजम्॥ सरस्वती वा।
2.2.8.190.0	2.2	क꣢ इ꣣मं नाहु꣢꣯षी꣣ष्वा꣢꣫ इन्द्र꣣ꣳ सो꣡म꣢स्य तर्पयात्। स꣢ नो꣣ व꣢सू꣣न्या꣡ भ꣢रात् ॥	वामदेवो गौतमः	गायत्री	इन्द्रः	कः꣢। इ꣣म꣢म्। ना꣡हु꣢꣯षीषु। आ। इ꣡न्द्र꣢꣯म्। सो꣡म꣢꣯स्य। त꣣र्पयात्। सः꣢। नः꣣। व꣡सू꣢꣯नि। आ। भ꣣रात्। १९०।	
2.2.8.190.1	2.2	क꣤इ꣥म꣤म्। उ꣥हु꣤वाहा꣥इ॥ ना꣢꣯हुऽ३षा꣡इषू꣢ऽ१वाऽ᳒२᳒। आ꣡इन्द्रꣳसो꣯म꣢। स्यता꣡र्पा꣢ऽ१याऽ᳒२᳒त्। स꣡नो꣰꣯ऽ२व꣡सू꣢꣯। निया꣡भा꣢ऽ१राऽ᳒२᳒त्॥ स꣡नो꣰꣯ऽ२व꣡सू꣢꣯नि॥ आ꣡ऽ२३। भरा꣢उवा। आ꣡꣯गहि꣢ये꣡꣯हिताइमे꣢ऽ१॥	अरुणो वीतहव्यः	गायत्री	इन्द्रः		आरुणस्य वैतहव्यस्य साम, सौभरं वा॥
2.2.8.191.0	2.2	आ꣡ या꣢हि सुषु꣣मा꣢꣫ हि त꣣ इ꣢न्द्र꣣ सो꣢मं꣣ पि꣡बा꣢ इ꣣म꣢म्। ए꣢꣫दं ब꣣र्हिः꣡ स꣢दो꣣ म꣡म꣢ ॥	इरिम्बिठिः काण्वः	गायत्री	इन्द्रः	आ꣢। या꣣हि। सुषुम꣢। हि। ते꣣। इ꣡न्द्र꣢꣯। सो꣡म꣢꣯म्। पि꣡ब꣢꣯। इ꣣म꣢म्। आ। इ꣣द꣢म्। ब꣣र्हिः꣢। स꣣दः। म꣡म꣢꣯। १९१।	
2.2.8.191.1	2.2	आ꣥꣯या꣯हिसू॥ षु꣢मा꣡हा꣢ऽ१इतेऽ᳒२᳒। षुमा꣡हा꣢ऽ१इतेऽ᳒२᳒। आ꣡इंद्रसोम꣢म्। पिबा꣡इम꣢म्। पिबा꣡आ꣢ऽ१इमाऽ२᳐म्॥ ए꣣꣯दंब꣢र्हा꣡इः॥ स꣢दो꣡꣯माऽ२३मा꣢ऽ३४३। ओ꣡ऽ२३४५इ॥ डा॥	 सुभरि	गायत्री	इन्द्रः		सौभरम्॥
2.2.8.192.0	2.2	म꣡हि꣢ त्री꣣णा꣡मव꣢꣯रस्तु द्यु꣣क्षं꣢ मि꣣त्र꣡स्या꣢र्य꣣म्णः꣢। दु꣣राध꣢र्षं꣣ व꣡रु꣢णस्य ॥	सत्यधृतिर्वारुणिः	गायत्री	इन्द्रः	म꣡हि꣢꣯। त्री꣣णा꣢म्। अवरि꣡ति꣢। अ꣣स्तु। द्युक्ष꣢म्। द्यु꣣। क्ष꣢म्। मि꣣त्र꣡स्य꣢। मि꣣। त्र꣡स्य꣢꣯। अ꣣र्यम्णः꣢। दु꣣रा꣡धर्ष꣢म्। दुः꣣। आध꣡र्ष꣢म्। व꣡रु꣢꣯णस्य। १९२।	
2.2.8.192.1	2.2	म꣣हा꣢इ᳐त्रा꣣ऽ२३४इणा꣥म्॥ अ꣡वाऽ᳒२᳒र꣡स्तू। द्यु꣣क्षं꣢मा꣣ऽ२३४इत्रा꣥॥ स्या꣡ऽ᳒२᳒र्य꣡म्णाः॥ दु꣣रा꣢᳐धा꣣ऽ२३४र्षा꣥म्॥ व꣢रौ꣡꣯होऽ२३४। वा꣥। णा꣤ऽ५स्योऽ६"हा꣥इ॥	पष्ठ	गायत्री	इन्द्रः		पाष्ठौहे द्वे मित्रावरुणोऽर्यमा
2.2.8.192.2	2.2	म꣥हित्री꣯णा꣯मवरस्तूऽ६ए꣥॥ द्यु꣢क्षं꣡मित्रस्या꣯र्यम्णाः॥ दु꣢रा꣡꣯धाऽ२३र्षा꣢म्॥ वरौ꣡होऽ᳒२᳒। हि꣡म्माऽ᳒२᳒। ण। स्यो꣡ऽ२᳐। या꣣ऽ२३४औ꣥꣯हो꣯वा॥ हा꣢꣯ओ꣡वा꣢। ओ꣡वा꣣ऽ२३꣡४꣡५꣡॥	पष्ठ	गायत्री	इन्द्रः		
2.2.8.193.0	2.2	त्वा꣡व꣢तः पुरूवसो व꣣य꣡मि꣢न्द्र प्रणेतः। स्म꣡सि꣢ स्थातर्हरीणाम् ॥	वत्सः काण्वः	गायत्री	इन्द्रः	त्वा꣡व꣢꣯तः। पु꣣रूवसो। पुरु। वसो। वय꣣म्। इ꣣न्द्र। प्रणेतः। प्र। नेतरि꣡ति। स्म꣡सि꣢꣯। स्था꣣तः। हरीणाम्। १९३।	
2.2.8.193.1	2.2	त्वा꣡꣯वतो꣢ऽ३। हौ꣭ऽ३हो꣢ऽ३१इ॥ पुरू꣯व꣢सोऽ३। हौ꣭ऽ३हो꣢ऽ३१इ। व꣢य꣡मिन्द्रा꣢ऽ३। हौ꣭ऽ३हो꣢ऽ३१इ। प्रणे꣯ता꣢ऽ३ः। हौ꣭ऽ३हो꣢ऽ३१इ॥ स्मसिस्था꣢꣯ताऽ३ः। हौ꣭ऽ३हो꣢ऽ३१इ॥ हरी꣯णा꣢ऽ३म्। हौ꣭ऽ३हो꣢ऽ३१२३४५इ॥ डा॥	साकमश्वो	गायत्री	इन्द्रः		धुरासाकमश्वम्
2.2.9.194.0	3.1	उ꣡त्त्वा꣢ मन्दन्तु꣣ सो꣡माः꣢ कृणु꣣ष्व꣡ राधो꣢꣯ अद्रिवः। अ꣡व꣢ ब्रह्म꣣द्वि꣡षो꣢ जहि ॥	प्रगाथः काण्वः	गायत्री	इन्द्रः	उ꣢त्। त्वा꣣। मन्दन्तु। सो꣡माः꣢꣯। कृ꣣णुष्व꣢। रा꣡धः꣢꣯। अ꣣द्रिवः। अ। द्रिवः। अ꣡व꣢꣯। ब्र꣣ह्मद्वि꣡षः꣢। ब्र꣣ह्म। द्वि꣡षः꣢꣯। ज꣣हिः। १९४।	
2.2.9.194.1	3.1	उ꣥त्वा꣯मन्दन्तुसो꣯हो꣤माः꣥॥ कृ꣢णौ꣡꣯हो। ष्व꣢रौ꣡꣯हो। धा꣢꣯अ꣡द्रिवाः॥ अ। वब्राऽ२३ह्मा꣢॥ द्वि꣡षाऽ᳒२ः᳒। हाऽ᳒२᳒इ। औ꣭ऽ३हो꣢ऽ३१ये꣢ऽ३। जा꣡ऽ२᳐हा꣣ऽ२३४औ꣥꣯हो꣯वा। ए꣢ऽ᳐३। य꣡यूऽ२३꣡४꣡५ः꣡॥	यमो	गायत्री	इन्द्रः		यामम्
2.2.9.195.0	3.1	गि꣡र्व꣢णः पा꣣हि꣡ नः꣢ सु꣣तं꣢꣫ मधो꣣र्धा꣡रा꣢भिरज्यसे। इ꣢न्द्र꣣ त्वा꣡दा꣢त꣣मि꣡द्यशः꣢꣯ ॥	विश्वामित्रो गाथिनः	गायत्री	इन्द्रः	गि꣡र्व꣢꣯णः। गिः। व꣣नः। पाहि꣢। नः꣣। सुत꣢म्। म꣡धोः꣢꣯। धा꣡रा꣢꣯भिः। अ꣣ज्यसे। इ꣡न्द्र꣢꣯। त्वा꣡दा꣢꣯तम्। त्वा। दा꣣तम्। इ꣢त्। य꣡शः꣢꣯। १९५।	
2.2.9.195.1	3.1	गि꣤र्व꣥णᳲपा꣯हि꣤न꣥स्सुत꣤म्। गिर्व꣥णᳲपा꣤॥ हि꣡नस्सुताऽ᳒२᳒म्। म꣡धो꣯र्धा꣯रा꣯भि꣢रा꣡होऽ᳒२᳒। ज्या꣡सेऽ२३। हा꣢उवा॥ इ꣡न्द्रात्वाऽ२३दा꣢। तमा꣡ये꣢ऽ३त्। या꣡ऽ२᳐शा꣣ऽ२३४औ꣥꣯हो꣯वा॥ ह꣢रिऽ३श्री꣡ऽ२३꣡४꣡५ः꣡॥	अङ्गिरा	गायत्री	इन्द्रः		आङ्गिरसं हरिश्रीनिधनम्
2.2.9.196.0	3.1	स꣡दा꣢ व꣣ इ꣢न्द्र꣣श्च꣡र्कृ꣢ष꣣दा꣢꣫ उपो꣣ नु꣡ स स꣢꣯प꣣र्य꣢न्। न꣢ दे꣣वो꣢ वृ꣣तः꣢꣯ शूर꣣ इ꣡न्द्रः꣢ ॥	वामदेवो गौतमः	गायत्री	इन्द्रः	स꣡दा꣢꣯। वः꣣। इ꣡न्द्रः꣢꣯। च꣡र्कृ꣢꣯षत्। आ। उ꣡प꣢꣯। उ꣣। नु꣢। सः। स꣣पर्य꣢न्। न। दे꣣वः꣢। वृ꣣तः꣢। शू꣡रः꣢꣯। इ꣡न्द्रः꣢꣯। १९६।	
2.2.9.196.1	3.1	सा꣤दा꣥॥ व꣢इन्द्राऽ३ः। च꣢र्कृ꣣षा꣤दा꣥। उ꣢पो꣯नुसाऽ३ः। सा꣡पर्य꣢न्॥ न꣣दे꣢꣯वा꣡ऽ२३ः॥ वृता꣢ऽ३४३ः। शू꣢ऽ३४३। रा꣢ऽ३आ꣤ऽ५इन्द्रा"ऽ६५६ः॥	विरूपो	गायत्री	इन्द्रः		वैरूपम्
2.2.9.197.0	3.1	आ꣡ त्वा꣢ विश꣣न्त्वि꣡न्द꣢वः समु꣣द्र꣡मि꣢व꣣ सि꣡न्ध꣢वः। न꣢꣫ त्वामि꣣न्द्रा꣡ति꣢ रिच्यते ॥	श्रुतकक्ष आङ्गिरसः	गायत्री	इन्द्रः	आ꣢। त्वा꣣। विशन्तु। इ꣡न्द꣢꣯वः। स꣣मुद्र꣢म्। स꣣म्। उद्र꣢म्। इ꣣व। सि꣡न्ध꣢꣯वः। न। त्वाम्। इ꣣न्द्र। अ꣡ति꣢꣯। रि꣣च्यते। १९७।	
2.2.9.197.1	3.1	आ꣥꣯त्वा꣯विशन्त्विन्दाऽ६वाः꣥॥ स꣢मुद्र꣡मिव꣢सि꣡न्ध꣢वः। समुद्र꣡मि। व꣢सि꣡न्धाऽ२३वाः꣢। न꣡त्वा꣯मिन्द्रा꣯तिरि꣢च्यते꣯॥ नत्वा꣡꣯माऽ२३इन्द्रा꣢॥ तिरि꣡च्याऽ२३ता꣢ऽ३४३इ। ओ꣡ऽ२३४५इ॥ डा॥	आसितो	गायत्री	इन्द्रः		आसितं सिन्धुषाम वा॥
2.2.9.198.0	3.1	इ꣢न्द्र꣣मि꣢द्गा꣣थि꣡नो꣢ बृ꣣ह꣡दिन्द्र꣢꣯म꣣र्के꣡भि꣢र꣣र्कि꣡णः꣢। इ꣢न्द्रं꣣ वा꣡णी꣢रनूषत ॥	मधुच्छन्दा वैश्वामित्रः	गायत्री	इन्द्रः	इ꣡न्द्र꣢꣯म्। इत्। गा꣣थि꣡नः꣢। बृ꣣ह꣢त्। इ꣡न्द्र꣢꣯म्। अ꣣र्के꣡भिः। अ꣣र्कि꣡णः꣢। इ꣡न्द्र꣢꣯म्। वा꣡णीः꣢꣯। अ꣣नूषत। १९८।	
2.2.9.198.1	3.1	इ꣥न्द्रमि꣣द्गा꣢꣯थि꣣नो꣤꣯बृ꣥हात्॥ इ꣢न्द्रा꣡म꣢र्का꣡इ। भि꣢रर्कि꣡णाः॥ इन्द्रंवाणी꣢ऽ३ः। हा꣢ऽ३हा꣢इ॥ अ꣤नूऽ५षता। हो꣤ऽ५इ॥ डा॥	यमो	गायत्री	इन्द्रः		यमस्य इन्द्रस्य वा अर्कः (अर्कम्)
2.2.9.199.0	3.1	इ꣡न्द्र꣢ इ꣣षे꣡ द꣢दातु न ऋभु꣣क्ष꣡ण꣢मृ꣣भु꣢ꣳर꣣यि꣢म्। वा꣣जी꣡ द꣢दातु वा꣣जि꣡न꣢म् ॥	श्रुतकक्ष आङ्गिरसः	गायत्री	इन्द्रः	इ꣡न्द्रः꣢꣯। इ꣣षे꣢। द꣣दातु। नः। ऋभुक्ष꣡ण꣢म्। ऋ꣣भु। क्ष꣡ण꣢꣯म्। ऋ꣣भु꣢म्। ऋ꣣। भु꣢म्। र꣣यि꣢म्। वा꣣जी꣢। द꣣दातु। वाजि꣡न꣢म्। १९९।	
2.2.9.199.1	3.1	इ꣤न्द्र꣥इषे꣤꣯द꣥दा꣯तुनः। ओ꣤हाइ॥ ऋ꣢भु। क्ष꣡णाऽ२᳐म्। ऋ꣣भुꣳ꣢᳐रा꣣ऽ२३४यी꣥म्। वा꣢꣯जी꣯ददातु꣣वा꣢ऽ३। वा꣢꣯जी꣡꣯ददा। तु꣢वो꣡ऽ२३४वा꣥। जा꣤ऽ५इनोऽ६"हा꣥इ॥	सुमित्रो	गायत्री	इन्द्रः		सौमित्रे द्वे॥ ऋभुर्वा।
